,price,year,kms,fuel,city,tags,starting_emi,company,car_name,cc
306,851000.0,2018,31476,Petrol,Mumbai,Home Test Drive,14132,Skoda,Rapid  ,1.6
307,2190000.0,2021,18771,Diesel,Mumbai,Home Test Drive,36368,Tata,Harrier  ,
308,1995000.0,2022,11500,Petrol,Mumbai,Home Test Drive,33130,MG,Hector  ,1.5
309,675000.0,2017,31262,Petrol,Mumbai,Home Test Drive,11209,Honda,WR-V  ,
310,1751000.0,2015,98561,Diesel,Mumbai,Home Test Drive,29078,Toyota,Fortuner  ,
311,2195000.0,2018,36283,Diesel,Mumbai,Home Test Drive,36451,Toyota,Innova  ,
312,2150000.0,2021,30717,Diesel,Mumbai,Home Test Drive,35704,Tata,Harrier  ,
313,975000.0,2019,27432,Petrol,Mumbai,Home Test Drive,,Maruti Suzuki,Ciaz  ,1.5
314,1825000.0,2016,94212,Diesel,Mumbai,Home Test Drive,30307,Toyota,Innova  ,
315,845000.0,2019,15883,Petrol,Mumbai,No Tag,,Mahindra,XUV300  ,1.2
316,540000.0,2016,29145,Petrol,Mumbai,No Tag,8967,Hyundai,Grand i10,1.2
317,395000.0,2016,18196,Petrol,Mumbai,No Tag,6559,Maruti Suzuki,Wagon R,1.0
318,1250000.0,2022,1759,Petrol,Mumbai,Home Test Drive,,Kia,Sonet  ,1.0
319,685000.0,2016,48520,Petrol,Mumbai,Home Test Drive,,Ford,EcoSport  ,1.5
320,1045000.0,2017,58567,Petrol,Mumbai,No Tag,17353,Hyundai,Creta  ,1.6
321,565000.0,2016,24445,Petrol,Mumbai,Home Test Drive,9382,Honda,Amaze  ,1.2
322,860000.0,2021,6416,Petrol,Mumbai,Home Test Drive,14281,Maruti Suzuki,Baleno  ,1.2
323,875000.0,2019,37505,Petrol,Mumbai,Home Test Drive,14530,Ford,EcoSport  ,1.5
324,900000.0,2022,875,Petrol,Mumbai,Home Test Drive,14946,Maruti Suzuki,Swift  ,
325,445000.0,2015,32324,Petrol,Mumbai,No Tag,7389,Honda,Amaze  ,1.2
326,1511000.0,2021,7795,Petrol,Mumbai,No Tag,25092,Honda,City  ,
327,875000.0,2019,37505,Petrol,Mumbai,Home Test Drive,14530,Ford,EcoSport  ,1.5
328,891000.0,2018,35077,Petrol,Mumbai,Home Test Drive,14796,Honda,City  ,
329,1100000.0,2017,66188,Diesel,Mumbai,Home Test Drive,18267,Hyundai,Creta  ,1.6
330,575000.0,2015,51878,Petrol,Mumbai,Home Test Drive,9548,Honda,City  ,
331,590000.0,2018,18054,Petrol,Mumbai,Home Test Drive,9797,Maruti Suzuki,Swift  ,
332,675000.0,2019,69904,Petrol,Mumbai,Home Test Drive,11209,Maruti Suzuki,Baleno  ,1.2
333,791000.0,2022,7029,CNG,Mumbai,Home Test Drive,13135,Hyundai,Grand i10,1.2
334,1090000.0,2018,45657,Petrol,Mumbai,Home Test Drive,18101,Hyundai,Creta  ,1.6
335,765000.0,2022,11988,CNG,Mumbai,Home Test Drive,12704,Hyundai,Grand i10,1.2
336,475000.0,2018,23178,Petrol,Mumbai,Home Test Drive,7888,Maruti Suzuki,Wagon R,1.0
337,320000.0,2019,1391,Petrol,Mumbai,Home Test Drive,5314,Datsun,redi-GO  ,1.0
338,525000.0,2014,43247,Petrol,Mumbai,Home Test Drive,,Honda,City  ,
339,390000.0,2017,36512,Petrol,Mumbai,Home Test Drive,6476,Maruti Suzuki,Wagon R,1.0
340,4695000.0,2021,16869,Diesel,Mumbai,Home Test Drive,,Toyota,Fortuner  ,
341,2425000.0,2018,32296,Diesel,Mumbai,Home Test Drive,,Mahindra,Alturas  ,
342,911000.0,2021,18843,Petrol,Mumbai,Home Test Drive,15128,Hyundai,Venue  ,1.2
343,711000.0,2016,46276,Diesel,Mumbai,Home Test Drive,11807,Maruti Suzuki,S-Cross  ,1.3
344,1921000.0,2017,56199,Diesel,Mumbai,Home Test Drive,31901,Toyota,Innova  ,
345,845000.0,2017,28679,Petrol,Mumbai,Home Test Drive,14032,Hyundai,Creta  ,1.6
346,1175000.0,2017,40523,Petrol,Mumbai,Home Test Drive,,Hyundai,Elantra  ,2.0
347,751000.0,2018,24154,Petrol,Mumbai,Home Test Drive,12471,Maruti Suzuki,Ciaz  ,1.4
348,1025000.0,2017,59873,Diesel,Mumbai,Home Test Drive,17021,Hyundai,Creta  ,1.6
349,775000.0,2016,33630,Petrol,Mumbai,Home Test Drive,12870,Honda,City  ,
350,535000.0,2015,43917,Petrol,Mumbai,Home Test Drive,8884,Hyundai,Elite i20,1.2
351,390000.0,2017,36512,Petrol,Mumbai,Home Test Drive,6476,Maruti Suzuki,Wagon R,1.0
352,4695000.0,2021,16869,Diesel,Mumbai,Home Test Drive,,Toyota,Fortuner  ,
353,1175000.0,2017,40523,Petrol,Mumbai,Home Test Drive,,Hyundai,Elantra  ,2.0
354,845000.0,2017,28679,Petrol,Mumbai,Home Test Drive,14032,Hyundai,Creta  ,1.6
355,800000.0,2021,2864,Petrol,Mumbai,No Tag,,Maruti Suzuki,Swift  ,
356,3900000.0,2019,14675,Petrol,Mumbai,No Tag,64766,Mercedes-Benz,C-Class  ,
357,520000.0,2019,44445,Petrol,Mumbai,No Tag,8635,Tata,Tiago  ,
358,525000.0,2015,68766,Petrol,Mumbai,Home Test Drive,,Hyundai,Elite i20,1.2
359,495000.0,2015,41017,Petrol,Mumbai,Home Test Drive,,Hyundai,Grand i10,1.2
360,1290000.0,2018,34954,Petrol,Mumbai,Home Test Drive,,Hyundai,Creta  ,1.6
361,465000.0,2020,2066,Petrol,Mumbai,Home Test Drive,,Renault,Kwid  ,1.0
