,name,price,year,kms,fuel,city,homedrive,emi
1319,Audi A4 2.0 TDI (177bhp) Premium,₹ 14.5 Lakh,2013,"86,830 km",Diesel,Hyderabad,,"EMI starts at₹24,079"
1320,MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 16 Lakh,2020,"36,268 km",Petrol,Hyderabad,Great Price,"EMI starts at₹26,570"
1321,Maruti Suzuki Vitara Brezza ZDi,₹ 9.2 Lakh,2018,"1,11,133 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹15,278"
1322,Toyota Fortuner Legender 4X4 AT 2.8 Legender,₹ 53 Lakh,2022,"25,000 km",Diesel,Hyderabad,,"EMI starts at₹88,015"
1323,Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],₹ 13 Lakh,2018,"95,150 km",Diesel,Hyderabad,Great Price,"EMI starts at₹21,588"
1324,Maruti Suzuki Swift Dzire VXI AT,₹ 7 Lakh,2017,"50,000 km",Petrol,Hyderabad,Just Arrived,"EMI starts at₹11,624"
1325,BMW X5 xDrive30d Pure Experience (5 Seater),₹ 36 Lakh,2014,"64,500 km",Diesel,Hyderabad,,"EMI starts at₹59,784"
1326,Maruti Suzuki Swift VDi,₹ 3.6 Lakh,2011,"85,314 km",Diesel,Hyderabad,,
1327,Jaguar XF 3.0 V6 Premium Luxury,₹ 25 Lakh,2015,"62,645 km",Diesel,Hyderabad,,"EMI starts at₹41,516"
1328,Maruti Suzuki Omni 5 STR BS-IV,₹ 4 Lakh,2019,"23,468 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹6,642"
1329,Hyundai i10 Magna,₹ 2.5 Lakh,2008,"43,278 km",Petrol,Hyderabad,Home Test Drive,
1330,Maruti Suzuki Swift VDi,₹ 5.9 Lakh,2017,"82,366 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹9,797"
1331,Ford Figo Duratorq Diesel EXI 1.4,₹ 2.9 Lakh,2011,"61,555 km",Diesel,Hyderabad,Home Test Drive,
1332,Mahindra Thar LX Hard Top Petrol AT,₹ 15.5 Lakh,2021,"11,500 km",Petrol,Hyderabad,Great Price,"EMI starts at₹25,740"
1333,Hyundai Xcent SX 1.2,₹ 6.25 Lakh,2019,"43,481 km",Petrol,Hyderabad,Just Arrived,"EMI starts at₹10,379"
1334,Kia Seltos GTX Plus AT 1.5 Diesel [2019-2020],₹ 17.75 Lakh,2020,"89,300 km",Diesel,Hyderabad,,"EMI starts at₹29,476"
1335,Mercedes-Benz C-Class 220 BlueEfficiency,₹ 13.95 Lakh,2013,"1,20,000 km",Diesel,Hyderabad,,"EMI starts at₹23,166"
1336,Hyundai i10 Magna 1.1 LPG,₹ 3.45 Lakh,2013,"73,380 km",LPG,Hyderabad,Home Test Drive,"EMI starts at₹5,729"
1337,Ford EcoSport Titanium 1.5 TDCi,₹ 6.2 Lakh,2015,"95,240 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹10,296"
1338,Toyota Fortuner 2.8 4x2 AT [2016-2020],₹ 30.95 Lakh,2018,"1,77,734 km",Diesel,Hyderabad,,"EMI starts at₹51,397"
