,name,price,year,kms,fuel,city,homedrive,emi
427,Maruti Suzuki Ciaz Alpha 1.4 MT,₹ 8.35 Lakh,2018,"12,500 km",Petrol,Mumbai,,"EMI starts at₹13,866"
428,Hyundai Elite i20 Asta 1.2,₹ 5.21 Lakh,2015,"59,226 km",Petrol,Mumbai,,"EMI starts at₹8,652"
429,Mercedes-Benz GLA 200 d Sport,₹ 29.5 Lakh,2019,"24,541 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹48,989"
430,Honda Jazz V AT Petrol,₹ 6.25 Lakh,2017,"37,000 km",Petrol,Mumbai,,
431,Volkswagen Polo Highline 1.6L (P),₹ 3.25 Lakh,2012,"19,500 km",Petrol,Mumbai,,
432,Mercedes-Benz E-Class E 220 d Avantgarde,₹ 48.5 Lakh,2018,"17,000 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹80,542"
433,Tata Tigor Revotron XZA,₹ 5.95 Lakh,2018,"27,000 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹9,880"
434,Hyundai Creta SX 1.6 (O) Executive Petrol,₹ 14.75 Lakh,2021,"11,000 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹24,494"
435,Renault Lodgy 110 PS RXZ Stepway 8 STR,₹ 6.95 Lakh,2017,"28,500 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹11,541"
436,Chevrolet Cruze LTZ AT,₹ 8.75 Lakh,2016,"35,000 km",Diesel,Mumbai,,"EMI starts at₹14,530"
437,Volvo XC40 Inscription,₹ 36.9 Lakh,2019,"15,000 km",Diesel,Mumbai,,"EMI starts at₹61,278"
438,BMW 6 Series GT 630i Luxury Line [2018-2019],₹ 51.75 Lakh,2019,"32,000 km",Petrol,Mumbai,,"EMI starts at₹85,939"
439,Honda Accord 2.4 AT,₹ 4.45 Lakh,2011,"39,000 km",Petrol,Mumbai,,
440,Mercedes-Benz GLS 350 d,₹ 65 Lakh,2017,"35,000 km",Diesel,Mumbai,Home Test Drive,EMI starts at₹1.08 L
441,BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 45 Lakh,2020,"12,700 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹74,730"
442,Audi Q7 45 TDI Premium Plus,₹ 66.65 Lakh,2019,"35,000 km",Diesel,Mumbai,Home Test Drive,
443,Tata Nexon XMA Petrol,₹ 7.95 Lakh,2018,"9,000 km",Petrol,Mumbai,,"EMI starts at₹13,202"
444,Volkswagen Taigun Topline 1.0 TSI AT,₹ 16.5 Lakh,2021,"5,000 km",Petrol,Mumbai,Home Test Drive,
445,Volvo V40 Cross Country D3,₹ 14.9 Lakh,2015,"44,000 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹24,743"
446,Volkswagen Vento TSI,₹ 7.95 Lakh,2018,"27,000 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹13,202"
447,Volkswagen Taigun Topline 1.0 TSI AT,₹ 16.5 Lakh,2021,"5,000 km",Petrol,Mumbai,Home Test Drive,
448,Volvo V40 Cross Country D3,₹ 14.9 Lakh,2015,"44,000 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹24,743"
449,Kia Carens Prestige Plus 1.4 Petrol DCT 7 STR,₹ 15.95 Lakh,2022,"5,000 km",Petrol,Mumbai,,"EMI starts at₹26,487"
450,Mahindra Alturas G4 4WD AT [2018-2020],₹ 24.25 Lakh,2018,"32,000 km",Diesel,Mumbai,,"EMI starts at₹40,271"
451,Audi Q7 45 TDI Premium Plus,₹ 66.5 Lakh,2019,"35,000 km",Diesel,Mumbai,,EMI starts at₹1.1 L
452,BMW X5 xDrive30d Pure Experience (5 Seater),₹ 43.25 Lakh,2016,"45,000 km",Diesel,Mumbai,,"EMI starts at₹71,823"
453,Mercedes-Benz E-Class E 250 CDI Avantgarde,₹ 18.9 Lakh,2015,"58,000 km",Diesel,Mumbai,,"EMI starts at₹31,386"
454,BMW 6 Series GT 630i Luxury Line [2018-2019],₹ 51.75 Lakh,2019,"32,000 km",Petrol,Mumbai,,
455,Tata Tiago Revotron XZA [2017-2019],₹ 6.5 Lakh,2021,"2,300 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹10,794"
456,Kia Seltos HTX Plus AT 1.5 Diesel [2019-2020],₹ 14.75 Lakh,2020,"33,600 km",Diesel,Mumbai,,"EMI starts at₹24,494"
457,Toyota Corolla Altis G Petrol,₹ 7.65 Lakh,2015,"45,000 km",Petrol,Mumbai,,"EMI starts at₹12,704"
458,Mercedes-Benz GLE 250 d,₹ 54 Lakh,2019,"58,426 km",Diesel,Mumbai,,"EMI starts at₹89,676"
459,Maruti Suzuki Ignis Alpha 1.2 AMT,₹ 6.25 Lakh,2018,"15,000 km",Petrol,Mumbai,,"EMI starts at₹10,379"
460,Honda City VX,₹ 6.45 Lakh,2015,"60,000 km",Petrol,Mumbai,,"EMI starts at₹10,711"
461,Honda City VX,₹ 13.25 Lakh,2021,"1,500 km",Petrol,Mumbai,,"EMI starts at₹22,003"
462,Maruti Suzuki S-Cross Alpha AT,₹ 11.25 Lakh,2021,"18,000 km",Petrol,Mumbai,,"EMI starts at₹18,682"
463,Hyundai i20 Asta 1.4 AT with AVN,₹ 4.15 Lakh,2012,"21,000 km",Petrol,Mumbai,,
464,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 5.15 Lakh,2017,"28,000 km",Petrol,Mumbai,,"EMI starts at₹8,552"
465,Mercedes-Benz GLC 220 d Prime,₹ 39.75 Lakh,2017,"27,000 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹66,011"
466,Toyota Urban Cruiser High Grade AT,₹ 11.4 Lakh,2021,"6,272 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹18,931"
467,Volkswagen Vento Comfortline 1.2 (P) AT,₹ 6.25 Lakh,2016,"53,094 km",Petrol,Mumbai,Home Test Drive,
468,Audi Q3 35 TDI Premium + Sunroof,₹ 16.75 Lakh,2014,"55,000 km",Diesel,Mumbai,,"EMI starts at₹27,816"
469,Tata Nexon XZA Plus (O),₹ 10.75 Lakh,2020,"25,000 km",Petrol,Mumbai,,"EMI starts at₹17,852"
470,Honda City V CVT Petrol [2017-2019],₹ 13.4 Lakh,2021,"11,000 km",Petrol,Mumbai,,"EMI starts at₹22,252"
471,Toyota Fortuner 3.0 4x2 AT,₹ 14.75 Lakh,2012,"86,000 km",Diesel,Mumbai,,
472,Skoda Rapid Active 1.6 MPI,₹ 5.65 Lakh,2017,"48,000 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹9,382"
473,Toyota Fortuner 2.8 4x4 AT [2016-2020],₹ 34.75 Lakh,2018,"62,000 km",Diesel,Mumbai,Home Test Drive,"EMI starts at₹57,708"
474,Tata Altroz XT Petrol,₹ 6.5 Lakh,2020,"13,000 km",Petrol,Mumbai,Home Test Drive,
475,Audi Q5 30 TDI Premium Edition,₹ 21.5 Lakh,2015,"76,000 km",Diesel,Mumbai,,"EMI starts at₹35,704"
476,Honda City V,₹ 6.99 Lakh,2016,"35,000 km",Petrol,Mumbai,,"EMI starts at₹11,608"
477,MINI Cooper Convertible 2.0,₹ 54 Lakh,2021,"2,100 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹89,676"
478,Volkswagen Vento Highline Petrol AT,₹ 3.45 Lakh,2011,"50,667 km",Petrol,Mumbai,,
479,Ford Figo Duratorq Diesel Titanium 1.4,₹ 2.99 Lakh,2013,"64,983 km",Diesel,Mumbai,,"EMI starts at₹4,965"
480,Skoda Superb Style TSI AT,₹ 16.99 Lakh,2017,"38,950 km",Petrol,Mumbai,,"EMI starts at₹28,214"
481,Volkswagen Vento Comfortline Diesel,₹ 3.3 Lakh,2012,"79,676 km",Diesel,Mumbai,,
482,Hyundai Elantra SX (O) 2.0 AT,₹ 10.9 Lakh,2016,"71,395 km",Petrol,Mumbai,,"EMI starts at₹18,101"
483,Ford EcoSport Titanium 1.5 TDCi,₹ 5.11 Lakh,2014,"62,225 km",Diesel,Mumbai,,"EMI starts at₹8,486"
484,Honda BR-V V CVT Petrol,₹ 7.9 Lakh,2016,"61,225 km",Petrol,Mumbai,,"EMI starts at₹13,119"
485,Hyundai Elite i20 Magna Executive 1.2,₹ 5.8 Lakh,2017,"56,152 km",Petrol,Mumbai,,"EMI starts at₹9,631"
486,Mahindra XUV700 AX 7 Diesel AT AWD 7 STR,₹ 27 Lakh,2022,"15,116 km",Diesel,Mumbai,,"EMI starts at₹44,838"
487,Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],₹ 18.51 Lakh,2017,"65,452 km",Diesel,Mumbai,,"EMI starts at₹30,738"
488,Toyota Camry Hybrid [2015-2017],₹ 42.5 Lakh,2021,"18,500 km",Petrol,Mumbai,Home Test Drive,"EMI starts at₹70,578"
489,Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,₹ 6.25 Lakh,2018,"44,500 km",Diesel,Mumbai,Great Price,
490,Honda CR-V 2.4L 4WD AVN,₹ 13.25 Lakh,2016,"40,000 km",Petrol,Mumbai,Great Price,"EMI starts at₹22,003"
491,Maruti Suzuki Baleno Alpha 1.2,₹ 6.9 Lakh,2018,"40,244 km",Petrol,Mumbai,,"EMI starts at₹11,458"
492,Maruti Suzuki Swift Dzire VXi 1.2 BS-IV,₹ 2.9 Lakh,2011,"61,270 km",Petrol,Mumbai,,
493,Hyundai Creta SX Plus 1.6  Petrol,₹ 7.49 Lakh,2015,"1,38,488 km",Petrol,Mumbai,,"EMI starts at₹12,438"
494,Toyota Fortuner 2.8 4x4 AT [2016-2020],₹ 31.49 Lakh,2018,"73,644 km",Diesel,Mumbai,,"EMI starts at₹52,294"
495,Honda City SV CVT,₹ 5.4 Lakh,2014,"70,047 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹8,967"
496,Volkswagen Polo GT TSI,₹ 6.45 Lakh,2016,"48,510 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹10,711"
497,Mercedes-Benz E-Class E 250 CDI Avantgarde,₹ 19 Lakh,2015,"58,000 km",Diesel,Navi Mumbai,,"EMI starts at₹31,552"
498,Maruti Suzuki Ciaz VXi,₹ 5.55 Lakh,2015,"48,000 km",Petrol,Navi Mumbai,,"EMI starts at₹9,216"
499,Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.49 Lakh,2022,"16,000 km",CNG,Navi Mumbai,,"EMI starts at₹10,777"
500,Hyundai Venue SX (O) 1.0 Turbo iMT,₹ 9.9 Lakh,2020,"23,000 km",Petrol,Navi Mumbai,,"EMI starts at₹16,440"
501,Maruti Suzuki Ciaz VXi+ AT,₹ 5.7 Lakh,2016,"37,068 km",Petrol,Navi Mumbai,Great Price,"EMI starts at₹9,465"
502,Hyundai i10 Sportz 1.2 AT Kappa2,₹ 2.99 Lakh,2011,"79,000 km",Petrol,Navi Mumbai,,
503,Mahindra XUV500 W7 [2018-2020],₹ 13.5 Lakh,2020,"73,342 km",Diesel,Navi Mumbai,Home Test Drive,"EMI starts at₹22,419"
504,Hyundai Creta SX 1.6 AT Petrol,₹ 13.5 Lakh,2018,"22,987 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹22,419"
505,Maruti Suzuki Ciaz Zeta 1.4 AT,₹ 6.9 Lakh,2017,"45,983 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹11,458"
506,Honda Jazz V Petrol,₹ 5.3 Lakh,2016,"41,307 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹8,801"
507,Maruti Suzuki S-Cross Zeta 1.6,₹ 8.75 Lakh,2017,"70,000 km",Diesel,Navi Mumbai,,"EMI starts at₹14,530"
508,Honda Amaze 1.2 SX i-VTEC,₹ 3.95 Lakh,2015,"33,000 km",Petrol,Navi Mumbai,,"EMI starts at₹6,559"
509,Toyota Etios GD,₹ 4.19 Lakh,2012,"95,000 km",Diesel,Navi Mumbai,,
510,Honda Amaze 1.2 E i-VTEC,₹ 3.99 Lakh,2015,"34,000 km",Petrol,Navi Mumbai,,"EMI starts at₹6,626"
511,Maruti Suzuki Baleno Delta 1.2,₹ 4.98 Lakh,2017,"56,000 km",Petrol,Navi Mumbai,,"EMI starts at₹8,270"
512,Toyota Innova Crysta 2.4 GX 8 STR [2016-2020],₹ 19.79 Lakh,2018,"38,000 km",Diesel,Navi Mumbai,,"EMI starts at₹32,864"
513,Maruti Suzuki Baleno Delta 1.2,₹ 4.99 Lakh,2017,"57,000 km",Petrol,Navi Mumbai,,"EMI starts at₹8,286"
514,MG Hector Plus Sharp Hybrid 1.5 Petrol,₹ 19.79 Lakh,2021,"32,000 km",Petrol,Navi Mumbai,,"EMI starts at₹32,864"
515,Tata Tigor Buzz Diesel,₹ 5.39 Lakh,2017,"60,000 km",Diesel,Navi Mumbai,,"EMI starts at₹8,951"
516,Tata Tigor Buzz Diesel,₹ 5.29 Lakh,2017,"59,000 km",Diesel,Navi Mumbai,,"EMI starts at₹8,784"
517,MG Hector Smart 1.5 DCT Petrol [2019-2020],₹ 19.7 Lakh,2021,"31,000 km",Petrol,Navi Mumbai,,"EMI starts at₹32,715"
518,BMW 3 Series GT 320d Luxury Line,₹ 26.5 Lakh,2017,"65,500 km",Diesel,Navi Mumbai,,"EMI starts at₹44,007"
519,Toyota Innova Crysta GX 2.4 AT 8 STR,₹ 19.8 Lakh,2018,"38,000 km",Diesel,Navi Mumbai,,"EMI starts at₹32,881"
520,Honda Jazz V Diesel,₹ 5.49 Lakh,2015,"2,00,000 km",Diesel,Navi Mumbai,,"EMI starts at₹9,117"
521,Maruti Suzuki S-Cross Zeta 1.3,₹ 7.98 Lakh,2017,"70,000 km",Diesel,Navi Mumbai,,"EMI starts at₹13,252"
522,Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 3.69 Lakh,2015,"74,000 km",CNG,Navi Mumbai,,"EMI starts at₹6,127"
523,Maruti Suzuki Celerio VXi [2019-2020],₹ 5.49 Lakh,2019,"29,000 km",Petrol,Navi Mumbai,,"EMI starts at₹9,117"
524,Mercedes-Benz E-Class E200 CGI Blue Efficiency,₹ 10.5 Lakh,2012,"69,000 km",Petrol,Navi Mumbai,,
525,Volkswagen Ameo Highline1.5L (D) [2016-2018],₹ 5.49 Lakh,2017,"1,09,000 km",Diesel,Navi Mumbai,,"EMI starts at₹9,117"
526,Toyota Corolla Altis 1.8 VL AT,₹ 4.29 Lakh,2011,"4,29,000 km",Petrol,Navi Mumbai,,
527,Mercedes-Benz GLA 200 Sport,₹ 18.5 Lakh,2016,"71,000 km",Petrol,Navi Mumbai,,"EMI starts at₹30,722"
528,Maruti Suzuki Celerio VXi (O) CNG [2019-2020],₹ 5.39 Lakh,2019,"29,000 km",CNG,Navi Mumbai,,"EMI starts at₹8,951"
529,Maruti Suzuki Celerio VXi [2019-2020],₹ 5.69 Lakh,2019,"26,000 km",Petrol,Navi Mumbai,,"EMI starts at₹9,449"
530,Maruti Suzuki Ertiga VXI CNG,₹ 8.39 Lakh,2017,"86,000 km",CNG,Navi Mumbai,,"EMI starts at₹13,933"
531,Maruti Suzuki Estilo LXi,₹ 1.29 Lakh,2007,"95,000 km",Petrol,Navi Mumbai,,
532,Mercedes-Benz GLC 300 Progressive,₹ 36.5 Lakh,2016,"42,000 km",Petrol,Navi Mumbai,,"EMI starts at₹60,614"
533,BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 24.5 Lakh,2016,"68,500 km",Diesel,Navi Mumbai,,"EMI starts at₹40,686"
534,Maruti Suzuki Ertiga VDI SHVS,₹ 7.99 Lakh,2016,"72,000 km",Diesel,Navi Mumbai,,"EMI starts at₹13,268"
535,Maruti Suzuki Ertiga VDI SHVS,₹ 7.98 Lakh,2016,"71,000 km",Diesel,Navi Mumbai,,"EMI starts at₹13,252"
536,Maruti Suzuki Ertiga VXI CNG,₹ 79.9 Lakh,2017,"56,000 km",CNG,Navi Mumbai,,EMI starts at₹1.33 L
537,Toyota Corolla Altis 1.8 VL AT,₹ 4.19 Lakh,2011,"42,000 km",Petrol,Navi Mumbai,,
538,Mercedes-Benz C-Class C 200 Avantgarde,₹ 25.75 Lakh,2017,"31,200 km",Petrol,Navi Mumbai,,"EMI starts at₹42,762"
539,Audi Q5 2.0 TFSI quattro Premium Plus,₹ 10.5 Lakh,2011,"67,000 km",Petrol,Navi Mumbai,,
540,Maruti Suzuki Baleno Zeta 1.2,₹ 6.99 Lakh,2020,"12,000 km",Petrol,Navi Mumbai,,"EMI starts at₹11,608"
541,Maruti Suzuki Estilo LXi,₹ 1.29 Lakh,2007,"94,000 km",Petrol,Navi Mumbai,,
542,BMW X3 xDrive-20d xLine,₹ 17 Lakh,2014,"87,000 km",Diesel,Navi Mumbai,,"EMI starts at₹28,231"
543,BMW 5 Series 520d Luxury Line [2017-2019],₹ 25.5 Lakh,2016,"48,000 km",Diesel,Navi Mumbai,,"EMI starts at₹42,347"
544,Maruti Suzuki Baleno Zeta 1.2,₹ 6.95 Lakh,2020,"11,500 km",Petrol,Navi Mumbai,,"EMI starts at₹11,541"
545,Hyundai i20 Asta 1.2,₹ 2.19 Lakh,2011,"32,000 km",Petrol,Navi Mumbai,,
546,Hyundai Aura S 1.2 CNG,₹ 7.59 Lakh,2021,"33,000 km",CNG,Navi Mumbai,,"EMI starts at₹12,604"
547,Hyundai Creta 1.4 S,₹ 10.79 Lakh,2019,"94,000 km",Diesel,Navi Mumbai,,"EMI starts at₹17,918"
548,Maruti Suzuki Swift Dzire ZDI AMT,₹ 6.18 Lakh,2016,"1,18,000 km",Diesel,Navi Mumbai,,"EMI starts at₹10,262"
549,Hyundai Creta 1.4 S,₹ 10.79 Lakh,2019,"94,000 km",Diesel,Navi Mumbai,,"EMI starts at₹17,918"
550,Hyundai Aura S 1.2 CNG,₹ 7.59 Lakh,2021,"33,000 km",CNG,Navi Mumbai,,"EMI starts at₹12,604"
551,Toyota Etios GD,₹ 4.19 Lakh,2014,"1,29,000 km",Diesel,Navi Mumbai,,"EMI starts at₹6,958"
552,Mercedes-Benz E-Class E 220 d Avantgarde,₹ 38.5 Lakh,2017,"54,000 km",Diesel,Navi Mumbai,,"EMI starts at₹63,935"
553,Maruti Suzuki Swift Dzire ZDI AMT,₹ 6.19 Lakh,2016,"1,19,000 km",Diesel,Navi Mumbai,,"EMI starts at₹10,279"
554,BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 24.75 Lakh,2016,"54,600 km",Diesel,Navi Mumbai,,"EMI starts at₹41,101"
555,Mercedes-Benz B-Class B 180 Night Edition,₹ 14.8 Lakh,2016,"57,000 km",Petrol,Navi Mumbai,,"EMI starts at₹24,577"
556,Audi Q3 35 TDI Premium + Sunroof,₹ 18.5 Lakh,2015,"72,500 km",Diesel,Navi Mumbai,,"EMI starts at₹30,722"
557,BMW X1 xDrive20d xLine,₹ 23.5 Lakh,2017,"57,000 km",Diesel,Navi Mumbai,,"EMI starts at₹39,025"
558,Mercedes-Benz CLA 200 Petrol Sport,₹ 24.75 Lakh,2017,"33,600 km",Petrol,Navi Mumbai,,"EMI starts at₹41,101"
559,Mercedes-Benz C-Class C 220 CDI Avantgarde,₹ 12 Lakh,2014,"51,000 km",Diesel,Navi Mumbai,,"EMI starts at₹19,928"
560,BMW 3 Series 320d Prestige,₹ 12.75 Lakh,2014,"65,000 km",Diesel,Navi Mumbai,,"EMI starts at₹21,173"
561,Mercedes-Benz GLE 250 d,₹ 37.75 Lakh,2016,"51,000 km",Diesel,Navi Mumbai,,"EMI starts at₹62,690"
562,Porsche Cayenne Platinum Edition Diesel,₹ 53.5 Lakh,2016,"56,300 km",Diesel,Navi Mumbai,,"EMI starts at₹88,845"
563,BMW 5 Series 530i Sport Line,₹ 43.75 Lakh,2018,"35,500 km",Petrol,Navi Mumbai,,"EMI starts at₹72,654"
564,Hyundai i20 Asta 1.2,₹ 2.29 Lakh,2011,"30,000 km",Petrol,Navi Mumbai,,
565,Maruti Suzuki Wagon R LXi 1.0 [2019-2019],₹ 4.29 Lakh,2018,"78,000 km",Petrol,Navi Mumbai,,"EMI starts at₹7,124"
566,Volvo V40 Cross Country D3,₹ 12.75 Lakh,2014,"73,500 km",Diesel,Navi Mumbai,,"EMI starts at₹21,173"
567,Audi Q7 45 TDI Technology Pack,₹ 39.5 Lakh,2016,"78,000 km",Diesel,Navi Mumbai,,"EMI starts at₹65,596"
568,Audi Q7 45 TDI Technology Pack,₹ 39.5 Lakh,2016,"75,000 km",Diesel,Navi Mumbai,,"EMI starts at₹65,596"
569,Mercedes-Benz GLA 200 CDI Sport,₹ 21.5 Lakh,2016,"44,800 km",Diesel,Navi Mumbai,,"EMI starts at₹35,704"
570,BMW 7 Series 730Ld DPE,₹ 61.5 Lakh,2017,"47,000 km",Diesel,Navi Mumbai,,EMI starts at₹1.02 L
571,Audi A8 L 3.0 TDI quattro,₹ 22.5 Lakh,2012,"68,000 km",Diesel,Navi Mumbai,,
572,Land Rover Range Rover Evoque Pure,₹ 30.5 Lakh,2017,"48,000 km",Diesel,Navi Mumbai,,"EMI starts at₹50,650"
573,Porsche Cayenne Platinum Edition Diesel,₹ 53.5 Lakh,2016,"56,300 km",Diesel,Navi Mumbai,,"EMI starts at₹88,845"
574,BMW 5 Series 530i Sport Line,₹ 43.75 Lakh,2018,"35,500 km",Petrol,Navi Mumbai,,"EMI starts at₹72,654"
575,Maruti Suzuki Wagon R LXi 1.0 [2019-2019],₹ 4.29 Lakh,2018,"78,000 km",Petrol,Navi Mumbai,,"EMI starts at₹7,124"
576,Hyundai i20 Asta 1.2,₹ 2.29 Lakh,2011,"30,000 km",Petrol,Navi Mumbai,,
577,Mercedes-Benz GLA 200 d Sport,₹ 26.5 Lakh,2018,"43,000 km",Diesel,Navi Mumbai,,"EMI starts at₹44,007"
578,Hyundai i10 Sportz 1.2 AT Kappa2,₹ 2.98 Lakh,2011,"78,000 km",Petrol,Navi Mumbai,,
579,Hyundai Creta E Plus 1.4 CRDI,₹ 10.79 Lakh,2019,"94,000 km",Diesel,Navi Mumbai,,"EMI starts at₹17,918"
580,Mercedes-Benz C-Class C 200 Avantgarde,₹ 27.5 Lakh,2017,"38,000 km",Petrol,Navi Mumbai,,"EMI starts at₹45,668"
581,Jaguar XE Prestige,₹ 23.5 Lakh,2017,"30,500 km",Petrol,Navi Mumbai,,"EMI starts at₹39,025"
582,Audi S5 Sportback 3.0 TFSI Quattro,₹ 65 Lakh,2018,"11,000 km",Petrol,Navi Mumbai,,EMI starts at₹1.08 L
583,Mercedes-Benz GLC 300 Progressive,₹ 37.5 Lakh,2017,"49,000 km",Petrol,Navi Mumbai,,"EMI starts at₹62,275"
584,Audi A3 40 TFSI Premium Plus + sunroof,₹ 13.5 Lakh,2015,"45,600 km",Petrol,Navi Mumbai,,"EMI starts at₹22,419"
585,Audi A4 35 TDI Premium Plus,₹ 25.5 Lakh,2017,"48,000 km",Diesel,Navi Mumbai,,"EMI starts at₹42,347"
586,Mercedes-Benz E-Class E 220 d Avantgarde,₹ 41.8 Lakh,2018,"57,000 km",Diesel,Navi Mumbai,,"EMI starts at₹69,415"
587,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],₹ 71 Lakh,2021,"32,500 km",Diesel,Navi Mumbai,,EMI starts at₹1.18 L
588,Audi A3 35 TDI Premium,₹ 28.5 Lakh,2020,"11,800 km",Diesel,Navi Mumbai,,"EMI starts at₹47,329"
589,Mercedes-Benz GLA 200 d Sport,₹ 19.25 Lakh,2016,"64,000 km",Diesel,Navi Mumbai,,"EMI starts at₹31,967"
590,Jaguar XJ L 3.0 V6 Portfolio,₹ 34.75 Lakh,2015,"68,000 km",Diesel,Navi Mumbai,,"EMI starts at₹57,708"
591,BMW 3 Series 320d Sport Line [2016-2018],₹ 18.75 Lakh,2016,"45,000 km",Diesel,Navi Mumbai,,"EMI starts at₹31,137"
592,Mercedes-Benz E-Class E 250 CDI Avantgarde,₹ 20.5 Lakh,2015,"55,000 km",Diesel,Navi Mumbai,,"EMI starts at₹34,043"
593,Maruti Suzuki Wagon R LXi 1.0 [2019-2019],₹ 4.25 Lakh,2018,"77,000 km",Petrol,Navi Mumbai,,"EMI starts at₹7,057"
594,Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.48 Lakh,2022,"15,500 km",CNG,Navi Mumbai,,"EMI starts at₹10,761"
595,Hyundai i20 Sportz 1.2 BS-IV,₹ 2.79 Lakh,2010,"46,000 km",Petrol,Navi Mumbai,,
596,Audi A4 35 TDI Premium Plus,₹ 25.5 Lakh,2017,"43,500 km",Diesel,Navi Mumbai,,"EMI starts at₹42,347"
597,Maruti Suzuki Swift ZDi AMT,₹ 8.99 Lakh,2019,"43,000 km",Diesel,Navi Mumbai,,"EMI starts at₹14,929"
598,Bentley Continental Flying Spur Sedan,₹ 67.5 Lakh,2009,"95,000 km",Petrol,Navi Mumbai,,
599,Mercedes-Benz GLA 200 Sport,₹ 29.75 Lakh,2019,"19,500 km",Petrol,Navi Mumbai,,"EMI starts at₹49,404"
600,Audi A3 35 TFSI Premium Plus,₹ 24.75 Lakh,2018,"24,500 km",Petrol,Navi Mumbai,,"EMI starts at₹41,101"
601,BMW 7 Series 730Ld,₹ 61.5 Lakh,2017,"44,000 km",Diesel,Navi Mumbai,,EMI starts at₹1.02 L
602,Mercedes-Benz CLA 200 CDI Sport,₹ 29 Lakh,2019,"29,000 km",Diesel,Navi Mumbai,,"EMI starts at₹48,159"
603,Audi Q7 3.0 TDI quattro Premium Plus,₹ 17.5 Lakh,2012,"87,000 km",Diesel,Navi Mumbai,,
604,Renault Duster 85 PS RxL,₹ 61.5 Lakh,2015,"60,000 km",Diesel,Navi Mumbai,,EMI starts at₹1.02 L
605,Renault Duster 85 PS RxE Diesel,₹ 6.19 Lakh,2015,"59,000 km",Diesel,Navi Mumbai,,"EMI starts at₹10,279"
606,Mercedes-Benz GLE 250 d,₹ 36.5 Lakh,2016,"72,500 km",Diesel,Navi Mumbai,,"EMI starts at₹60,614"
607,Nissan Evalia XV,₹ 7.25 Lakh,2013,"13,000 km",Diesel,Navi Mumbai,,"EMI starts at₹12,039"
608,BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 24.5 Lakh,2016,"63,000 km",Diesel,Navi Mumbai,,"EMI starts at₹40,686"
609,Porsche Cayenne S Hybrid,₹ 32 Lakh,2012,"81,000 km",Petrol,Navi Mumbai,,"EMI starts at₹53,141"
610,Hyundai Venue SX 1.0 Turbo iMT,₹ 8.5 Lakh,2020,"44,710 km",Petrol,Navi Mumbai,,"EMI starts at₹14,115"
611,Maruti Suzuki Wagon R 1.0 VXI AMT (O),₹ 3.75 Lakh,2016,"82,373 km",Petrol,Navi Mumbai,,"EMI starts at₹6,227"
612,Datsun GO T,₹ 1.7 Lakh,2014,"59,332 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹2,823"
613,Honda City VX CVT,₹ 6.5 Lakh,2015,"59,941 km",Petrol,Navi Mumbai,Home Test Drive,"EMI starts at₹10,794"
614,MG Hector Sharp 2.0 Diesel [2019-2020],₹ 19 Lakh,2020,"18,841 km",Diesel,Navi Mumbai,,"EMI starts at₹31,552"
615,Honda City 1.5 S MT,₹ 2.5 Lakh,2010,"1,24,251 km",Petrol,Navi Mumbai,Home Test Drive,
616,MG Hector Plus Select 2.0 Diesel Turbo MT 7-STR,₹ 19.5 Lakh,2021,"20,106 km",Diesel,Navi Mumbai,,"EMI starts at₹32,383"
617,Toyota Camry Hybrid [2015-2017],₹ 38.55 Lakh,2019,"18,000 km",Petrol,Navi Mumbai,,"EMI starts at₹64,018"
618,Honda City ZX CVT Petrol [2017-2019],₹ 10.51 Lakh,2018,"34,000 km",Petrol,Navi Mumbai,,"EMI starts at₹17,453"
